axis,gain,w,k,cover
asof_pitcher_prev3_game_middle_rate 하위25%,0.44731923422352793,1.5,10000.0,0.9856493114588551
dx_mid_adv 하위25%,0.44724632325971925,1.5,10000.0,0.9984576362782882
lx_ball_bs 상위50%,0.43626428852792287,1.5,10000.0,0.9984576362782882
k2_rev_2slow 하위25%,0.43380452686847093,1.5,10000.0,0.9984576362782882
li 상위25%,0.39840765358792396,0.3,1000.0,1.0
lx_str_bs 상위50%,0.39175567913730447,1.5,10000.0,0.9984576362782882
dx_succ_adv 하위25%,0.38893068333732117,1.5,10000.0,0.9984576362782882
lx_rev_bs 상위50%,0.3780942614959031,1.5,10000.0,0.9984576362782882
dx_succ_bs 상위50%,0.3737286174947485,1.5,10000.0,0.9984576362782882
asof_pitcher_prev1_game_success_rate 하위25%,0.3683053489980921,0.5,3000.0,0.9856493114588551
cur_logn_pitch 상위50%,0.3647731369644589,1.5,10000.0,1.0
cur_logn_mix 상위50%,0.3647731369644589,1.5,10000.0,1.0
cur_logn_mix 상위25%,0.35844742726237655,1.5,10000.0,1.0
cur_logn_pitch 상위25%,0.35844742726237655,1.5,10000.0,1.0
asof_pitcher_prev3_game_middle_rate 상위25%,0.3503498936753431,0.3,300.0,0.9856493114588551
tmc_n 상위25%,0.32834885952047443,0.3,1000.0,0.7731226356668652
dx_mid_onb 하위25%,0.32770041295805186,1.5,10000.0,0.9984576362782882
asof_pitcher_prev3_game_success_rate 상위25%,0.3259717500446868,0.5,3000.0,0.9856493114588551
dx_succ_bs 하위25%,0.32028230220282694,1.5,10000.0,0.9984576362782882
asof_pitcher_ball_rate 하위25%,0.3081456571524086,0.65,1000.0,0.9996804821957579
dx_succ_sh 상위25%,0.30186511073100064,0.5,3000.0,0.9984576362782882
tmc_breaking_dev 상위25%,0.29661343351244795,1.5,10000.0,0.7731226356668652
lx_rev_bs 하위25%,0.2919587772232717,1.5,10000.0,0.9984576362782882
tmh_fastball_dev 상위50%,0.25507548230655175,1.0,10000.0,0.7891221938644692
game_dayofweek==4,0.2540396696664402,1.5,10000.0,1.0
run_total_before 하위25%,0.23983273532860494,0.5,3000.0,1.0
tmc_speed_dev 상위25%,0.23352418102592765,1.5,10000.0,0.7731226356668652
asof_pitcher_middle_rate 하위25%,0.23219135074828046,0.3,300.0,0.9996804821957579
asof_pitcher_prev5_game_success_rate 상위25%,0.2316165730795774,0.3,3000.0,0.9856493114588551
dx_succ_onb 하위25%,0.22325195511621132,1.5,10000.0,0.9984576362782882
tmc_offspeed_dev 하위25%,0.2210409340782462,1.5,10000.0,0.7731226356668652
tmh_offspeed_dev 하위25%,0.20601623987317907,1.0,10000.0,0.7891221938644692
num_runners_on==0,0.20593587345501874,1.0,10000.0,1.0
base_state==___,0.20593587345501874,1.0,10000.0,1.0
inning 상위25%,0.20526719296549345,0.3,1000.0,1.0
top_bottom==T,0.1966434841708633,1.0,10000.0,1.0
top_bottom==B,0.1966434841708633,1.0,10000.0,1.0
tmc_offspeed_dev 상위50%,0.1711014878151218,1.5,10000.0,0.7731226356668652
asof_batter_n 하위25%,0.1663505319113483,1.5,10000.0,1.0
run_total_before 상위50%,0.16209326637840604,0.5,3000.0,1.0
asof_pitcher_strike_rate 상위50%,0.16153348312172966,0.3,1000.0,0.9996804821957579
dx_mid_onb 상위25%,0.15877704820979943,1.0,10000.0,0.9984576362782882
asof_pitcher_success_rate 상위50%,0.15400138524171325,0.3,1000.0,0.9996804821957579
lx_rev_sh 상위50%,0.15151852035978663,0.5,300.0,0.9984576362782882
tmh_fastball_dev 상위25%,0.14657582495351562,0.3,3000.0,0.7891221938644692
asof_pitcher_prev1_game_middle_rate 상위25%,0.13416607214082887,0.3,3000.0,0.9856493114588551
cur_fb 상위50%,0.13017397786552465,0.3,1000.0,0.9984576362782882
asof_pitcher_success_rate 상위25%,0.12768911818250217,1.0,10000.0,0.9996804821957579
game_dayofweek==6,0.12054139136716913,1.0,10000.0,1.0
tmc_n 상위50%,0.11283722455311818,1.5,10000.0,0.7731226356668652
cur_succ 상위25%,0.11160122781654991,0.3,1000.0,0.9984576362782882
tmh_breaking_dev 상위25%,0.1029274255126893,0.65,10000.0,0.7891221938644692
li 상위50%,0.09543201910469179,0.3,3000.0,1.0
cur_bmid 하위25%,0.07803160807168297,0.65,10000.0,0.9983274623580414
asof_pitcher_pitchmix_n 하위25%,0.07111849692319083,0.3,1000.0,1.0
asof_pitcher_n 하위25%,0.07111849692319083,0.3,1000.0,1.0
cur_bsucc 상위50%,0.06992138797227199,0.3,1000.0,0.9983274623580414
tmc_fastball_dev 상위25%,0.06752460963855356,0.3,3000.0,0.7731226356668652
inning 하위25%,0.055970473847537505,0.3,3000.0,1.0
cur_logn_mix 하위25%,0.05438245038283185,0.65,10000.0,1.0
cur_logn_pitch 하위25%,0.05438245038283185,0.65,10000.0,1.0
cur_logn_bat 상위25%,0.0542209804475533,0.65,10000.0,1.0
asof_batter_success_rate 상위25%,0.052886962598563514,0.3,3000.0,0.9996528695460086
asof_pitcher_pitchmix_n 상위25%,0.052740125271725447,0.5,3000.0,1.0
asof_pitcher_n 상위25%,0.052740125271725447,0.5,3000.0,1.0
cur_ball 상위50%,0.04752245092117846,1.0,10000.0,0.9984576362782882
tmc_fastball_dev 하위25%,0.04438117833524302,0.65,10000.0,0.7731226356668652
game_month==7,0.04233875786599128,0.3,3000.0,1.0
score_diff_pitcher_team 상위50%,0.03714208476355907,0.5,10000.0,1.0
run_top_before 상위50%,0.0317844758976662,0.5,10000.0,1.0
lx_rev_sh 상위25%,0.030216560440635476,0.5,10000.0,0.9984576362782882
cur_bsucc 상위25%,0.029303720649522802,0.3,3000.0,0.9983274623580414
cur_fb 상위25%,0.024629088954270628,0.3,3000.0,0.9984576362782882
asof_pitcher_offspeed_rate 상위50%,0.021760722803719545,0.65,10000.0,0.9996804821957579
game_month==5,0.01997385828849474,0.5,10000.0,1.0
outs_before==0,0.018577584907234268,0.5,10000.0,1.0
lx_ball_bs 하위25%,0.01751297533246543,0.3,10000.0,0.9984576362782882
lx_ball_sh 상위25%,0.01597129365188721,0.3,10000.0,0.9984576362782882
home_win_expectancy 상위50%,0.014963400817350703,0.3,10000.0,1.0
asof_pitcher_reverse_rate 상위50%,0.010680176156142807,0.5,10000.0,0.9996804821957579
away_win_expectancy 상위50%,0.007878876570998727,0.3,10000.0,1.0
num_runners_on==2,0.00484521541295635,0.3,10000.0,1.0
tmh_fastball_dev 하위25%,0.002645202244025313,0.3,10000.0,0.7891221938644692
pitcher_hand==1,-0.0006825666069971703,0.3,10000.0,1.0
pitcher_hand==2,-0.0006825666069971703,0.3,10000.0,1.0
dx_succ_sh 상위50%,-0.0011187598156539025,0.3,10000.0,0.9984576362782882
lx_str_sh 상위50%,-0.0015873784669793167,0.3,10000.0,0.9984576362782882
cur_rev 상위25%,-0.0031403576094817254,0.3,10000.0,0.9984576362782882
runner_on_1b==0,-0.004797838210720329,0.3,10000.0,1.0
runner_on_1b==1,-0.004797838210720329,0.3,10000.0,1.0
cur_fb 하위25%,-0.006394794689072114,0.3,10000.0,0.9984576362782882
lx_ball_sh 상위50%,-0.007519222667269787,0.3,10000.0,0.9984576362782882
asof_pitcher_prev5_game_success_rate 하위25%,-0.01222486449603366,0.3,10000.0,0.9856493114588551
cur_os 상위25%,-0.017121726981827123,0.3,10000.0,0.9984576362782882
balls_before==1,-0.01724519863932983,0.3,10000.0,1.0
outs_before==1,-0.018957443677550145,0.3,10000.0,1.0
asof_pitcher_fastball_rate 상위25%,-0.021150569659539542,0.3,10000.0,0.9996804821957579
asof_pitcher_offspeed_rate 상위25%,-0.022385486742223293,0.3,10000.0,0.9996804821957579
cur_ball 상위25%,-0.02327830600086145,0.3,10000.0,0.9984576362782882
dx_mid_sh 상위50%,-0.023624198593552137,0.3,10000.0,0.9984576362782882
base_state==1_3,-0.02411233597104001,0.3,10000.0,1.0
balls_before==3,-0.024833627021962457,0.3,10000.0,1.0
asof_pitcher_strike_rate 상위25%,-0.03389446523658535,0.3,10000.0,0.9996804821957579
lx_str_sh 상위25%,-0.035336495435785764,0.3,10000.0,0.9984576362782882
base_state==__3,-0.03956576114876498,0.3,10000.0,1.0
tmc_n 하위25%,-0.04266226415109031,0.3,10000.0,0.7731226356668652
base_state==_23,-0.04565284486966448,0.3,10000.0,1.0
cur_str 상위50%,-0.045819777938618245,0.3,10000.0,0.9984576362782882
asof_pitcher_reverse_rate 상위25%,-0.04936900215250262,0.3,10000.0,0.9996804821957579
asof_pitcher_prev3_game_success_rate 하위25%,-0.05226932799257611,0.3,10000.0,0.9856493114588551
run_top_before 하위25%,-0.055517933141345566,0.3,10000.0,1.0
cur_ball 하위25%,-0.057593372480823746,0.3,10000.0,0.9984576362782882
cur_succ 하위25%,-0.057823748492637606,0.3,10000.0,0.9984576362782882
li 하위25%,-0.05837402654924517,0.3,10000.0,1.0
asof_pitcher_middle_rate 상위25%,-0.05895139938081684,0.3,10000.0,0.9996804821957579
asof_pitcher_pitchmix_n 상위50%,-0.06474870623424067,0.3,10000.0,1.0
asof_pitcher_n 상위50%,-0.06474870623424067,0.3,10000.0,1.0
cur_bb 상위50%,-0.06488426238456668,0.3,10000.0,0.9984576362782882
cur_str 하위25%,-0.067858471500017,0.3,10000.0,0.9984576362782882
cur_mid 상위50%,-0.06798716285311457,0.3,10000.0,0.9984576362782882
cur_logn_bat 상위50%,-0.06893147893595142,0.3,10000.0,1.0
run_bot_before 하위25%,-0.07012419518525803,0.3,10000.0,1.0
asof_batter_success_rate 상위50%,-0.07570348799424664,0.3,10000.0,0.9996528695460086
game_dayofweek==1,-0.07617623927853856,0.3,10000.0,1.0
asof_pitcher_prev3_game_middle_rate 상위50%,-0.07919530635649608,0.3,10000.0,0.9856493114588551
run_bot_before 상위50%,-0.08202129026574312,0.3,10000.0,1.0
cur_rev 하위25%,-0.08219666011939353,0.3,10000.0,0.9984576362782882
tmh_n 상위50%,-0.08380077654874185,0.3,10000.0,0.7891221938644692
asof_pitcher_offspeed_rate 하위25%,-0.08615045367446328,0.3,10000.0,0.9996804821957579
num_runners_on==1,-0.0874103922727727,0.3,10000.0,1.0
score_diff_pitcher_team 하위25%,-0.08855641344155174,0.3,10000.0,1.0
cur_str 상위25%,-0.09240068265796708,0.3,10000.0,0.9984576362782882
asof_pitcher_prev5_game_middle_rate 하위25%,-0.09413234533553805,0.3,10000.0,0.9856493114588551
balls_before==2,-0.09495579606129922,0.3,10000.0,1.0
inning 상위50%,-0.096540432681536,0.3,10000.0,1.0
balls_before==0,-0.0995391530143479,0.3,10000.0,1.0
asof_pitcher_fastball_rate 상위50%,-0.10142711686819439,0.3,10000.0,0.9996804821957579
asof_batter_success_rate 하위25%,-0.1026987966189381,0.3,10000.0,0.9996528695460086
runner_on_3b==0,-0.11207248635696487,0.3,10000.0,1.0
runner_on_3b==1,-0.11207248635696487,0.3,10000.0,1.0
asof_pitcher_breaking_rate 상위25%,-0.11526412201169478,0.3,10000.0,0.9996804821957579
