iter	RMSE
517	0.4927963213
518	0.4927918859
519	0.492787751
520	0.4927811866
521	0.49277234
522	0.4927668881
523	0.4927616575
524	0.4927565779
525	0.4927490941
526	0.4927419938
527	0.4927370063
528	0.4927319336
529	0.4927273212
530	0.4927215008
531	0.4927139558
532	0.4927093909
533	0.4927027293
534	0.4926980193
535	0.4926907941
536	0.4926854043
537	0.49267903
538	0.4926709575
539	0.4926655629
540	0.4926600598
541	0.4926526893
542	0.4926455211
543	0.4926397157
544	0.4926353737
545	0.4926310471
546	0.4926252398
547	0.4926200197
548	0.4926129979
549	0.4926071968
550	0.492601253
551	0.4925971968
552	0.4925907532
553	0.4925856639
554	0.492578745
555	0.4925738809
556	0.4925687171
557	0.4925628098
558	0.4925561494
559	0.4925485538
560	0.4925431716
561	0.4925387775
562	0.4925343793
563	0.4925295637
564	0.492523235
565	0.4925173088
566	0.4925127765
567	0.4925067262
568	0.4924995007
569	0.492494235
570	0.4924890068
571	0.492484989
572	0.4924803422
573	0.4924731601
574	0.4924690356
575	0.4924622924
576	0.4924565471
577	0.4924504934
578	0.492446
579	0.4924411123
580	0.4924340944
581	0.4924298217
582	0.4924255795
583	0.4924204206
584	0.4924140964
585	0.492408196
586	0.4924027385
587	0.4923964515
588	0.4923874516
589	0.4923827645
590	0.4923775435
591	0.4923721524
592	0.4923649846
593	0.4923576122
594	0.492350758
595	0.4923453598
596	0.4923395394
597	0.4923331122
598	0.4923278837
599	0.4923224832
