experiment_id,variant,model,n_features,hyperparameters,feature_spec,seeds,n_runs,fold_2021,fold_2022,fold_2023,fold_2024,mean,delta_mean,delta_se,delta_by_fold,sign_consistent,pos_frac,pred_mean,pred_std
exp009,border32,cat,55,"{""depth"": 6, ""l2"": 3.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1275.95,2352.95,,742.76,1457.22,,,,,,0.5171,0.0544
exp009,border64,cat,55,"{""depth"": 6, ""l2"": 3.0, ""lr"": 0.02, ""max_bins"": 64, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1287.34,2346.52,,705.87,1446.58,,,,,,0.5174,0.0548
exp009,cat_base,cat,55,"{""depth"": 6, ""l2"": 3.0, ""lr"": 0.02, ""max_bins"": 128, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1257.21,2332.49,,712.20,1433.97,,,,,,0.5169,0.0547
exp009,depth4,cat,55,"{""depth"": 4, ""l2"": 3.0, ""lr"": 0.02, ""max_bins"": 128, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1350.46,2320.94,,702.86,1458.09,,,,,,0.5167,0.0541
exp009,depth5,cat,55,"{""depth"": 5, ""l2"": 3.0, ""lr"": 0.02, ""max_bins"": 128, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1296.76,2327.68,,716.19,1446.87,,,,,,0.5168,0.0545
exp009,depth7,cat,55,"{""depth"": 7, ""l2"": 3.0, ""lr"": 0.02, ""max_bins"": 128, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1214.49,2324.41,,708.27,1415.72,,,,,,0.5175,0.0549
exp009,l2_10,cat,55,"{""depth"": 6, ""l2"": 10.0, ""lr"": 0.02, ""max_bins"": 128, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1278.03,2333.44,,716.56,1442.68,,,,,,0.5172,0.0545
exp009,l2_30,cat,55,"{""depth"": 6, ""l2"": 30.0, ""lr"": 0.02, ""max_bins"": 128, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1283.36,2334.69,,725.27,1447.77,,,,,,0.5172,0.0546
exp009,minleaf_1,cat,55,"{""depth"": 6, ""l2"": 3.0, ""lr"": 0.02, ""max_bins"": 128, ""min_leaf"": 1, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1257.21,2332.49,,712.20,1433.97,,,,,,0.5169,0.0547
exp010,b16_l2_30,cat,55,"{""depth"": 6, ""l2"": 30.0, ""lr"": 0.02, ""max_bins"": 16, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1286.41,2346.07,,741.13,1457.87,,,,,,0.5168,0.0542
exp010,b32_l2_100,cat,55,"{""depth"": 6, ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1293.19,2355.24,,738.28,1462.24,,,,,,0.5169,0.0543
exp010,b32_l2_30,cat,55,"{""depth"": 6, ""l2"": 30.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1287.79,2354.30,,734.81,1458.97,,,,,,0.5171,0.0545
exp010,border16,cat,55,"{""depth"": 6, ""l2"": 3.0, ""lr"": 0.02, ""max_bins"": 16, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1299.63,2346.22,,742.00,1462.62,,,,,,0.5170,0.0544
exp010,border32,cat,55,"{""depth"": 6, ""l2"": 3.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1275.95,2352.95,,742.76,1457.22,,,,,,0.5171,0.0544
exp010,cat_base,cat,55,"{""depth"": 6, ""l2"": 3.0, ""lr"": 0.02, ""max_bins"": 128, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1257.21,2332.49,,712.20,1433.97,,,,,,0.5169,0.0547
exp010,l2_30,cat,55,"{""depth"": 6, ""l2"": 30.0, ""lr"": 0.02, ""max_bins"": 128, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1283.36,2334.69,,725.27,1447.77,,,,,,0.5172,0.0546
exp011,b16_l2_100,cat,55,"{""depth"": 6, ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 16, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1288.80,2347.24,,749.69,1461.91,,,,,,0.5169,0.0542
exp011,b32_l2_100,cat,55,"{""depth"": 6, ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1293.19,2355.24,,738.28,1462.24,,,,,,0.5169,0.0543
exp011,b32_l2_100_d5,cat,55,"{""depth"": 5, ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1320.06,2351.00,,737.01,1469.36,,,,,,0.5169,0.0542
exp011,b32_l2_300,cat,55,"{""depth"": 6, ""l2"": 300.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1294.15,2353.87,,738.29,1462.10,,,,,,0.5170,0.0543
exp011,b8_l2_100,cat,55,"{""depth"": 6, ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 8, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1277.15,2353.43,,719.55,1450.04,,,,,,0.5173,0.0543
exp011,cat_base,cat,55,"{""depth"": 6, ""l2"": 3.0, ""lr"": 0.02, ""max_bins"": 128, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1257.21,2332.49,,712.20,1433.97,,,,,,0.5169,0.0547
exp012,cat_tuned,cat,55,"{""depth"": 6, ""l2"": 100.0, ""lr"": 0.02, ""max_bins"": 32, ""min_leaf"": 1000, ""n_iter"": 1200, ""threads"": 11}","{""base"": ""prod""}","42,43",6,1293.19,2355.24,,738.28,1462.24,,,,,,0.5169,0.0543
